RD Ratio, population
3.0653351387948544,55416
3.9535010049432344,208563
1.1202557755775577,25965
3.5928495197438632,22643
10.608372093023256,57704
0.3226628895184136,10362
1.316200215285253,19998
2.485640675911192,114611
1.3539823008849559,33843
5.780183727034121,25725
5.179786868339636,43941
1.319395303956256,12993
1.2445728291316527,24392
4.238249594813614,13492
8.38888888888889,14924
3.773247496423462,51226
2.291392543859649,54216
1.1120886282176605,12395
1.8966292134831462,10581
5.557797393862968,37458
2.71256764882742,13913
8.775871313672923,82471
3.13021778584392,49226
0.45095898955247155,40008
5.91499185225421,70900
3.2739449976292083,81799
2.1885908897403152,37728
3.1045410628019323,102564
4.937407952871871,16546
4.308602639963587,31628
6.548620236530881,26614
0.2091862206689965,8422
0.6647108130762783,14952
2.459755030621172,17164
2.898170095761828,104056
4.543543543543543,52138
0.8616779147782374,659521
5.622222222222222,13918
2.808038878201883,92318
2.9720299086125728,33244
1.6353456901891648,158991
3.086081370449679,92753
0.3586644817697665,10358
0.19262125189995855,18963
1.4286698166092737,356967
0.9316925271981452,19673
7.8722067039106145,29998
5.946875636067576,95157
1.3311169241111225,414836
1.3389791183294664,21530
0.5782951814416472,226349
3.3338088445078458,119012
0.3669892754381376,9574
1.3731117824773413,20324
1.524310379043461,33286
3.3611353711790395,22652
0.9616790226584525,58172
3.1773018711562786,210622
5.68990990990991,88019
0.3336146866427516,13040
1.7010241162867525,80103
2.460064503889205,40727
1.5025830025830025,206102
5.396344181899242,64967
2.5490278951817413,16756
0.40124740124740127,10986
10.591274397244547,23805
1.9726663228468282,18214
2.2167774086378738,20492
3.5202978621186642,41062
2.177923567792357,258291
4.17948717948718,37304
1.642369020501139,10996
2.443396226415094,5144
2.0314937012597483,27646
0.7302127659574468,10945
1.2196339434276207,22657
1.8904452226113055,14920
4.499762018086625,25264
3.4024896265560165,8241
1.737579617834395,23901
1.824482109227872,20937
2.176627840366622,105835
3.7209562109025915,62267
0.8309034416826003,49235
2.2942355889724313,17037
1.2935622317596567,7469
0.8599012123933543,11876
1.678087986463621,18651
2.008261617900172,122227
3.6584302325581395,17626
3.2521087160262416,12123
2.1210616298949767,97477
3.6673773987206824,18082
3.5006544502617802,44598
1.8519611978068327,21974
2.5989799171182657,33374
2.337037037037037,13377
3.448575399583044,37168
3.6381638163816383,13433
2.060644346178143,17221
0.5871763882704663,70016
2.5080545229244113,26176
1.7023346303501945,6847
3.217735550277118,16735
0.70835734870317,9310
1.9608626198083068,13705
2.579813886900501,12451
3.351051401869159,21792
3.529975168499468,72228
3.0982986767485823,16072
3.6870007262164126,16325
2.6428738591153755,43787
1.2431951610033802,42835
1.078582434514638,7169
3.5006802721088435,8879
1.730968858131488,8398
4.113018597997139,7936
1.2377314814814815,24098
2.878260869565217,10132
0.5691985088536813,18975
4.605263157894737,10832
1.6767838125665602,24023
5.459504132231405,20173
3.257368202573682,63779
3.082512315270936,8251
0.6845385278091679,393250
3.1635087719298247,17448
2.706424096021741,118703
4.6903353057199215,10277
4.916805324459235,7967
2.361211424819435,127793
3.052093023255814,16910
3.671875,17157
0.7926072934755644,26196
3.432296047098402,12539
1.8000705840832891,39887
3.4789915966386555,16628
1.251486252167451,228049
4.0795035873569905,79263
1.2032229185317815,6641
3.125,21552
0.43579862249918006,73112
1.6373029886861552,125770
0.6548522206416943,140908
2.0266824785057813,53556
2.431081490457437,37599
1.7326007326007327,9613
